SubjID,lh_bankssts_part1,lh_bankssts_part2,lh_caudalanteriorcingulate_part1,lh_caudalmiddlefrontal_part1,lh_caudalmiddlefrontal_part2,lh_caudalmiddlefrontal_part3,lh_caudalmiddlefrontal_part4,lh_cuneus_part1,lh_cuneus_part2,lh_entorhinal_part1,lh_fusiform_part1,lh_fusiform_part2,lh_fusiform_part3,lh_fusiform_part4,lh_fusiform_part5,lh_inferiorparietal_part1,lh_inferiorparietal_part2,lh_inferiorparietal_part3,lh_inferiorparietal_part4,lh_inferiorparietal_part5,lh_inferiorparietal_part6,lh_inferiorparietal_part7,lh_inferiorparietal_part8,lh_inferiortemporal_part1,lh_inferiortemporal_part2,lh_inferiortemporal_part3,lh_inferiortemporal_part4,lh_inferiortemporal_part5,lh_inferiortemporal_part6,lh_isthmuscingulate_part1,lh_isthmuscingulate_part2,lh_lateraloccipital_part1,lh_lateraloccipital_part2,lh_lateraloccipital_part3,lh_lateraloccipital_part4,lh_lateraloccipital_part5,lh_lateraloccipital_part6,lh_lateraloccipital_part7,lh_lateraloccipital_part8,lh_lateraloccipital_part9,lh_lateralorbitofrontal_part1,lh_lateralorbitofrontal_part2,lh_lateralorbitofrontal_part3,lh_lateralorbitofrontal_part4,lh_lingual_part1,lh_lingual_part2,lh_lingual_part3,lh_lingual_part4,lh_lingual_part5,lh_lingual_part6,lh_medialorbitofrontal_part1,lh_medialorbitofrontal_part2,lh_medialorbitofrontal_part3,lh_middletemporal_part1,lh_middletemporal_part2,lh_middletemporal_part3,lh_middletemporal_part4,lh_middletemporal_part5,lh_parahippocampal_part1,lh_parahippocampal_part2,lh_paracentral_part1,lh_paracentral_part2,lh_paracentral_part3,lh_parsopercularis_part1,lh_parsopercularis_part2,lh_parsopercularis_part3,lh_parsorbitalis_part1,lh_parstriangularis_part1,lh_parstriangularis_part2,lh_pericalcarine_part1,lh_pericalcarine_part2,lh_postcentral_part1,lh_postcentral_part2,lh_postcentral_part3,lh_postcentral_part4,lh_postcentral_part5,lh_postcentral_part6,lh_postcentral_part7,lh_postcentral_part8,lh_posteriorcingulate_part1,lh_posteriorcingulate_part2,lh_precentral_part1,lh_precentral_part2,lh_precentral_part3,lh_precentral_part4,lh_precentral_part5,lh_precentral_part6,lh_precentral_part7,lh_precentral_part8,lh_precentral_part9,lh_precuneus_part1,lh_precuneus_part2,lh_precuneus_part3,lh_precuneus_part4,lh_precuneus_part5,lh_precuneus_part6,lh_precuneus_part7,lh_rostralanteriorcingulate_part1,lh_rostralmiddlefrontal_part1,lh_rostralmiddlefrontal_part2,lh_rostralmiddlefrontal_part3,lh_rostralmiddlefrontal_part4,lh_rostralmiddlefrontal_part5,lh_rostralmiddlefrontal_part6,lh_rostralmiddlefrontal_part7,lh_rostralmiddlefrontal_part8,lh_rostralmiddlefrontal_part9,lh_rostralmiddlefrontal_part10,lh_superiorfrontal_part1,lh_superiorfrontal_part2,lh_superiorfrontal_part3,lh_superiorfrontal_part4,lh_superiorfrontal_part5,lh_superiorfrontal_part6,lh_superiorfrontal_part7,lh_superiorfrontal_part8,lh_superiorfrontal_part9,lh_superiorfrontal_part10,lh_superiorfrontal_part11,lh_superiorfrontal_part12,lh_superiorfrontal_part13,lh_superiorparietal_part1,lh_superiorparietal_part2,lh_superiorparietal_part3,lh_superiorparietal_part4,lh_superiorparietal_part5,lh_superiorparietal_part6,lh_superiorparietal_part7,lh_superiorparietal_part8,lh_superiorparietal_part9,lh_superiorparietal_part10,lh_superiortemporal_part1,lh_superiortemporal_part2,lh_superiortemporal_part3,lh_superiortemporal_part4,lh_superiortemporal_part5,lh_superiortemporal_part6,lh_superiortemporal_part7,lh_supramarginal_part1,lh_supramarginal_part2,lh_supramarginal_part3,lh_supramarginal_part4,lh_supramarginal_part5,lh_supramarginal_part6,lh_supramarginal_part7,lh_frontalpole_part1,lh_temporalpole_part1,lh_transversetemporal_part1,lh_insula_part1,lh_insula_part2,lh_insula_part3,lh_insula_part4,rh_bankssts_part1,rh_bankssts_part2,rh_caudalanteriorcingulate_part1,rh_caudalmiddlefrontal_part1,rh_caudalmiddlefrontal_part2,rh_caudalmiddlefrontal_part3,rh_caudalmiddlefrontal_part4,rh_cuneus_part1,rh_cuneus_part2,rh_cuneus_part3,rh_entorhinal_part1,rh_fusiform_part1,rh_fusiform_part2,rh_fusiform_part3,rh_fusiform_part4,rh_fusiform_part5,rh_inferiorparietal_part1,rh_inferiorparietal_part2,rh_inferiorparietal_part3,rh_inferiorparietal_part4,rh_inferiorparietal_part5,rh_inferiorparietal_part6,rh_inferiorparietal_part7,rh_inferiorparietal_part8,rh_inferiorparietal_part9,rh_inferiorparietal_part10,rh_inferiortemporal_part1,rh_inferiortemporal_part2,rh_inferiortemporal_part3,rh_inferiortemporal_part4,rh_inferiortemporal_part5,rh_isthmuscingulate_part1,rh_isthmuscingulate_part2,rh_lateraloccipital_part1,rh_lateraloccipital_part2,rh_lateraloccipital_part3,rh_lateraloccipital_part4,rh_lateraloccipital_part5,rh_lateraloccipital_part6,rh_lateraloccipital_part7,rh_lateraloccipital_part8,rh_lateraloccipital_part9,rh_lateralorbitofrontal_part1,rh_lateralorbitofrontal_part2,rh_lateralorbitofrontal_part3,rh_lateralorbitofrontal_part4,rh_lingual_part1,rh_lingual_part2,rh_lingual_part3,rh_lingual_part4,rh_lingual_part5,rh_lingual_part6,rh_medialorbitofrontal_part1,rh_medialorbitofrontal_part2,rh_medialorbitofrontal_part3,rh_middletemporal_part1,rh_middletemporal_part2,rh_middletemporal_part3,rh_middletemporal_part4,rh_middletemporal_part5,rh_middletemporal_part6,rh_parahippocampal_part1,rh_parahippocampal_part2,rh_paracentral_part1,rh_paracentral_part2,rh_paracentral_part3,rh_parsopercularis_part1,rh_parsopercularis_part2,rh_parsopercularis_part3,rh_parsorbitalis_part1,rh_parstriangularis_part1,rh_parstriangularis_part2,rh_parstriangularis_part3,rh_pericalcarine_part1,rh_pericalcarine_part2,rh_pericalcarine_part3,rh_postcentral_part1,rh_postcentral_part2,rh_postcentral_part3,rh_postcentral_part4,rh_postcentral_part5,rh_postcentral_part6,rh_postcentral_part7,rh_postcentral_part8,rh_posteriorcingulate_part1,rh_posteriorcingulate_part2,rh_precentral_part1,rh_precentral_part2,rh_precentral_part3,rh_precentral_part4,rh_precentral_part5,rh_precentral_part6,rh_precentral_part7,rh_precentral_part8,rh_precentral_part9,rh_precuneus_part1,rh_precuneus_part2,rh_precuneus_part3,rh_precuneus_part4,rh_precuneus_part5,rh_precuneus_part6,rh_precuneus_part7,rh_rostralanteriorcingulate_part1,rh_rostralmiddlefrontal_part1,rh_rostralmiddlefrontal_part2,rh_rostralmiddlefrontal_part3,rh_rostralmiddlefrontal_part4,rh_rostralmiddlefrontal_part5,rh_rostralmiddlefrontal_part6,rh_rostralmiddlefrontal_part7,rh_rostralmiddlefrontal_part8,rh_rostralmiddlefrontal_part9,rh_rostralmiddlefrontal_part10,rh_superiorfrontal_part1,rh_superiorfrontal_part2,rh_superiorfrontal_part3,rh_superiorfrontal_part4,rh_superiorfrontal_part5,rh_superiorfrontal_part6,rh_superiorfrontal_part7,rh_superiorfrontal_part8,rh_superiorfrontal_part9,rh_superiorfrontal_part10,rh_superiorfrontal_part11,rh_superiorfrontal_part12,rh_superiorfrontal_part13,rh_superiorparietal_part1,rh_superiorparietal_part2,rh_superiorparietal_part3,rh_superiorparietal_part4,rh_superiorparietal_part5,rh_superiorparietal_part6,rh_superiorparietal_part7,rh_superiorparietal_part8,rh_superiorparietal_part9,rh_superiorparietal_part10,rh_superiortemporal_part1,rh_superiortemporal_part2,rh_superiortemporal_part3,rh_superiortemporal_part4,rh_superiortemporal_part5,rh_superiortemporal_part6,rh_supramarginal_part1,rh_supramarginal_part2,rh_supramarginal_part3,rh_supramarginal_part4,rh_supramarginal_part5,rh_supramarginal_part6,rh_supramarginal_part7,rh_frontalpole_part1,rh_temporalpole_part1,rh_transversetemporal_part1,rh_insula_part1,rh_insula_part2,rh_insula_part3,rh_insula_part4
sub-007,1403,1415,1598,1502,1355,1309,1373,1253,1271,2558,1806,2639,1721,2055,2213,1601,1199,1369,1239,1430,1955,1273,1702,2450,1804,1933,1905,1927,2178,1333,1092,1145,1599,943,1671,821,1006,818,824,1306,2365,2093,1715,1448,1516,890,1363,816,915,1275,1875,1410,1860,2140,2102,1594,2338,2006,1577,1161,1117,1352,1287,1118,1681,1159,1739,1275,1190,938,1373,1173,1610,1214,1505,1216,1103,1159,1293,2126,1373,1497,1566,1654,1598,1386,1378,1734,1382,1493,1196,1401,1297,1355,1516,1204,1515,2553,863,970,2032,1614,1183,1520,1255,1454,1368,971,1601,1464,1556,1577,1635,1227,1877,1962,1642,1533,1437,1695,1652,1184,1175,1705,1165,1019,1340,1622,1249,1007,1113,953,1815,1638,1843,1555,1731,1211,1566,1119,1632,1424,1420,1645,1215,671,3021,1279,1135,1995,1522,1202,1426,1283,2144,970,1555,1455,1569,1058,952,969,2394,1829,2869,1660,1993,1635,1782,1256,1419,1284,1515,1105,1630,1855,1569,1265,2317,1959,2455,2277,2280,1355,1254,961,1585,1186,1307,1321,950,1294,846,1406,1933,1813,1566,1434,1377,1198,1321,811,1323,1181,1393,1574,1710,2048,2058,2058,1675,1721,1616,1053,1537,1298,1759,1331,1511,1124,944,2549,1281,804,1330,992,854,866,996,1097,1125,1257,1309,1018,1052,1105,1938,1821,1304,1436,1604,1544,1310,1681,1562,1906,1386,1267,1672,1385,946,1301,1229,1628,2050,1662,1273,1472,1275,1301,1529,953,1325,1144,1319,1090,1447,1291,1450,1206,1789,1419,1489,1383,1451,1823,1668,1807,960,1123,1273,994,886,1712,1325,1493,1261,1745,2158,1751,1994,1476,1982,1458,1116,1395,2018,1286,1578,1523,1224,883,2982,884,1723,1326,1391,1356,
sub-008,1714,2047,1797,2184,1903,2112,2056,1635,1845,2912,2443,2641,2015,2955,2435,2538,2109,1971,2182,2898,2869,2289,2387,2800,2281,2463,2263,2134,2471,1489,1832,1887,2098,1553,1948,1502,1922,1108,1315,1557,2341,3074,2254,1911,1994,1506,1297,942,954,1247,2294,1755,1924,3178,3230,2642,2875,2577,1383,1255,1338,1351,1776,1875,1654,1716,2510,2003,1289,1216,1383,1494,1826,1648,1972,1262,1202,1291,1350,2512,1945,1597,2008,1830,1790,1476,1617,1658,1363,1696,1151,1724,1479,2001,1597,2189,1790,3195,1999,2123,2517,1786,2485,2094,2129,1633,2292,1991,2364,1768,2482,1691,2292,1984,2485,2019,2426,2466,2379,2072,2178,2242,1919,2178,2393,2115,1948,2537,1601,1795,1749,1324,3082,2355,2895,1997,2087,2060,2429,1050,2591,1589,2176,2287,1821,1130,3464,1656,1243,2733,1935,1518,1682,1935,3063,1706,2052,2350,1975,1286,1072,974,3393,2462,2254,2502,2818,2653,3609,1987,2644,2669,2034,1862,2452,2703,2467,1959,2506,2842,2463,3106,2757,1381,1302,1600,2162,1334,1696,2257,1699,1222,1142,1793,3398,2209,2178,2221,1395,1533,1530,1134,1023,1221,1859,2295,2283,2532,2808,2587,2784,2908,2568,1524,1426,1363,1662,1751,1235,1385,1192,3221,1935,727,1508,1119,965,876,1388,1810,1499,1731,1291,1626,1269,1350,1743,1581,1614,1551,2473,1631,2133,1906,2077,1627,1588,1416,2140,1803,1364,2184,1809,2248,2657,2460,1872,2312,2270,2476,1721,1986,2043,2310,2595,1472,2076,1395,1888,1037,2180,2002,2260,1822,1724,1926,2525,1768,1381,1774,1876,1596,1106,2487,1750,2470,1280,1965,3569,2261,3464,2616,2571,1921,2425,1342,1893,1803,1718,1371,1779,1245,3551,1172,2284,1361,1906,1471,
sub-009,1579,1722,785,967,1162,1122,990,1338,1591,3674,1661,2419,1458,2130,1371,2103,1303,1620,1277,1977,1776,1807,1988,2344,1338,1961,1783,1642,2100,1199,1036,1529,1281,1337,1330,1049,1588,1032,865,985,1927,2182,1969,1721,1186,934,1094,614,935,1104,2008,1515,1794,2780,1743,1733,2360,2140,1689,1256,1145,1470,1159,1797,1453,1422,2361,2154,1503,1031,1487,1167,1596,1160,1553,1169,1048,1245,682,1911,1112,1299,1623,1249,1563,1230,1281,1906,1208,1689,1291,1406,1065,1306,1264,1231,1569,2723,1654,1650,1802,1527,1466,1716,1491,1642,1647,1519,2104,1676,1460,1581,1722,2057,2341,1937,1586,2310,1462,1288,1789,1122,1020,1316,1748,1826,1405,1589,931,1488,1339,1104,2203,1896,1913,2087,1507,1362,2132,1325,2056,2131,1853,1727,1199,1027,3288,1011,1028,1943,1497,1395,1376,1400,2501,1462,1204,2077,1484,1237,785,1020,3355,1246,2924,1519,2137,1241,905,1481,1617,1479,1512,1572,2739,1888,1843,1508,1799,2429,2199,3085,1991,999,1101,962,1558,849,966,1652,1272,1159,1013,1393,2102,1597,1749,1593,983,1084,1268,927,1064,1493,1675,1865,1723,1690,2052,1554,1866,2690,1615,1127,1308,1256,1615,1394,1262,965,869,2503,1152,1051,1045,978,929,1168,1188,1249,958,1131,992,760,791,665,2001,1462,1368,1436,1831,1695,1680,1520,1397,1706,1439,1251,1845,1204,1200,1167,1461,1182,1897,1876,1451,1822,1173,1407,1555,1110,1768,1621,1768,1375,1577,1875,1691,1404,1635,1741,2006,1598,1631,2076,1431,1703,1013,1462,1206,1507,874,1877,1589,2324,912,1548,2460,1763,2068,1764,1838,1812,1159,1065,2490,887,2122,1403,957,1022,2692,873,1526,1174,1361,1228,
sub-010,1186,955,1780,1299,1682,1174,1632,856,1208,2358,1629,2468,1180,1856,1161,1382,1175,1091,1384,1513,2118,1411,1498,1892,1663,1787,1754,1589,2033,1155,1254,1171,1696,889,1581,630,1518,866,762,943,1992,2202,1575,1535,988,1025,1123,625,778,1011,1604,1535,1636,2124,1649,1697,1787,1350,1698,1198,1008,1137,1088,1525,1629,1814,1950,1627,1196,685,1089,895,1364,975,1175,979,857,1025,820,1759,1318,1283,1672,1888,2238,1825,1361,1505,1072,1430,697,994,825,1501,1002,1676,1150,2122,1588,1380,2110,1387,1887,1640,1487,1133,1688,1050,1448,1464,1754,1467,1674,1304,1914,1415,1578,1479,1530,1411,1512,810,1026,1704,1196,1142,1099,1569,1211,934,1150,1011,2050,1675,1835,1536,1409,1335,1297,1251,1555,1178,1803,1530,1029,844,2748,1139,1220,1711,1300,1266,1013,1295,2096,1309,1254,1614,1483,718,570,606,2881,1712,2325,1452,1729,1343,980,1231,1953,1319,1151,1046,1481,2366,1168,1809,2397,1334,2084,2224,1847,959,1070,777,1592,848,1049,1745,1122,1231,975,1508,1962,1752,1880,1567,1026,1054,1149,675,750,697,1494,1767,1737,1562,1754,2197,1418,1836,1405,1235,1526,942,1118,1099,1477,1226,1399,2177,1464,938,1557,536,462,414,956,1405,951,1045,1049,887,1045,962,1573,1228,2027,1469,1801,1283,1795,1342,1686,1414,1181,804,1122,1200,709,1477,1185,1493,1803,1277,1244,1684,1688,2026,1051,1847,1227,2054,1451,1081,1454,1313,1608,1255,1414,1439,1298,1414,1706,1640,1519,1518,616,1070,1038,1137,997,1426,1154,920,1563,1217,1865,1849,1856,1466,1622,1243,1027,1143,1732,1088,1639,1686,1189,951,2866,727,1544,1096,1269,1354,
sub-011,1426,1387,1494,2315,1658,2004,1916,1924,1553,1835,1636,1999,1863,1697,2066,1948,1177,1304,1669,1369,2191,1709,1231,2148,1386,1955,1843,1465,1821,1322,1397,1619,1393,1255,1478,1056,1864,1024,948,830,1746,2487,1815,1642,1908,1565,1500,748,866,1500,1962,1577,1740,2932,2951,2454,2423,2331,1045,1048,1125,1110,1185,1094,1490,1005,2106,1846,1574,1368,1053,987,1547,1009,1691,946,1093,1390,1154,2390,1491,1451,1459,1409,1995,1441,1836,1720,1322,1380,1079,1257,1444,1367,1670,1344,1531,1992,1972,1199,2382,1019,1963,1578,1014,1179,1751,1057,1670,1788,1955,1594,1503,1520,2020,2031,1721,1473,1544,1777,1871,1238,1439,1324,1217,1651,1592,1274,1509,1309,2167,1083,2808,2032,2639,1813,2625,1846,2624,1291,1973,1669,1938,2213,1975,800,3162,1580,1207,1945,1573,1473,1265,978,1799,1217,1737,1850,1513,1529,1207,1207,2104,2467,1706,2339,1750,2475,1584,1588,1270,1952,2320,1728,2063,1629,1788,1358,2107,2800,2501,2457,1527,1147,1475,1440,1453,1340,1450,1704,1314,1319,986,1435,2409,1794,1833,1954,1323,1239,1153,795,1202,1287,1412,1935,1919,1855,2907,2684,2482,2381,1969,1000,1321,1333,1602,1332,1197,1328,975,2537,1476,1050,1428,702,673,765,862,1390,881,1570,1330,1262,1157,1397,1738,1527,1628,1310,1572,1066,1569,1829,1762,1616,1804,1275,1851,1269,1533,1307,1605,1826,1897,1656,1142,2979,1419,2150,1480,1584,1428,2106,2189,1283,1584,1424,1805,1259,1950,1636,1914,1883,1734,1869,1612,1776,2085,1334,2192,1913,1323,1178,1391,1212,1213,1392,3024,1610,2397,2154,2172,1854,1454,1332,1786,1471,1038,1091,1269,894,2649,947,1605,1269,1462,1443,
sub-012,1073,1042,2053,1953,1647,2089,2163,1301,1174,1086,1622,2586,1381,1834,1875,1850,1410,1638,1810,1433,2450,1451,1918,1794,1241,1866,1985,1392,1829,1492,1559,1490,1267,1077,1961,1364,1260,1183,1186,1440,1773,1663,1256,1479,1082,1211,1194,889,780,1236,1697,1367,1743,3142,2069,1937,2684,2312,970,831,1226,946,1433,1423,1342,1316,1859,1902,1280,888,934,958,1484,1008,1708,1617,996,1464,1531,2552,1403,1668,1343,1410,2003,2084,1607,2163,1438,1916,1152,1398,1300,1626,1456,1545,1836,1926,1549,1430,2401,1776,1930,1701,1909,1309,2093,1800,2112,1533,1415,986,2210,1130,1551,1323,1813,1528,1384,1340,1334,1214,1133,1215,1094,1216,1398,1134,1315,1448,1529,862,2060,1894,1767,1690,1606,1585,1199,1378,2234,1790,1455,2215,1248,1273,2430,1403,1527,1970,1661,1305,1498,1624,1863,1798,1050,1662,1419,1261,948,971,981,1985,2602,1973,2060,1794,1489,1636,1500,1447,1301,1778,1390,2491,1870,1668,2894,1299,1198,2349,1204,1192,1978,1299,1601,981,1229,1802,1325,1355,1264,1458,1484,1278,1807,1154,1047,1283,995,983,720,1167,1396,1397,1860,3043,2332,2464,2401,2288,2097,804,987,1137,1606,1148,1216,881,1170,3196,1879,1112,1450,639,635,810,931,1256,870,1622,1058,1209,960,1418,1343,1585,1702,1399,1806,1400,1533,1496,1595,1006,1192,1341,1752,1179,1393,1659,1484,1852,1322,1947,1364,1664,2444,1738,1513,1603,2289,2108,2001,1277,1978,1397,1847,1762,1912,1617,1918,1290,1424,1527,2167,1276,1142,1165,1637,1423,1273,1312,1349,1887,1322,1501,2655,2148,1578,2175,1890,1585,1798,1548,1705,1794,1673,1346,1572,1261,2277,1028,1543,1702,1707,1456,
sub-013,1343,1263,987,1537,1459,1679,1605,1428,1412,2286,1916,2367,1667,2489,1961,1582,1344,1716,1478,2522,1566,2101,1979,2489,1758,2218,2319,2345,1727,1295,1520,1537,1876,1325,2530,1101,1643,1078,986,1365,2097,2769,2230,1878,1592,1441,1125,796,989,1453,2077,1618,1923,3108,2778,2658,1576,1257,1456,1199,948,1229,1208,1778,1939,1707,2232,2169,1672,955,1405,1116,1660,1481,1856,1680,1150,2190,1501,1602,597,1479,1677,1380,2326,1220,1322,2115,1479,1550,1112,1343,1514,1599,1543,1629,1721,2019,1553,1670,1766,1761,1262,1854,1103,1565,1847,1511,2075,1308,1557,1364,1819,1835,1699,1503,1795,1714,1449,1389,1740,1332,1177,1450,971,872,1321,1625,1113,1006,1590,1138,2210,2099,1656,1629,1166,993,1572,1172,1907,1973,1798,2028,1389,1012,3263,995,1138,2014,1446,1459,1230,1802,2485,1546,2102,2466,2342,1154,1148,999,2129,1713,2150,1916,2174,1687,1657,1450,2256,1820,1411,1278,1778,2507,2063,1788,2535,1820,3409,2335,2779,1067,1028,1346,1541,1140,1193,1824,1236,1227,1285,1272,2230,2290,2100,1816,1180,1011,1230,769,874,1155,1313,2086,1742,1483,2974,2931,2386,2651,1788,1142,1409,1194,1626,1522,1468,1428,1274,2757,1700,1020,1491,783,618,665,1134,1274,1338,1169,1464,1605,1074,1231,1912,1500,1335,1527,2109,1003,1841,1951,2285,1486,1558,1153,1660,1411,1377,1611,1470,1213,2206,1994,1424,2351,1512,1455,1278,1303,1686,1641,1449,1344,1523,1464,1323,1384,1454,1625,1562,1589,1248,1780,1630,1490,1449,1337,1895,1499,1263,1270,2070,1700,1672,1464,2461,1934,2348,1774,1734,1498,1386,1326,1845,1357,1978,1067,1274,913,2898,1092,1675,1222,1381,1509,
sub-014,1489,1127,2274,1448,1754,1176,1549,1387,1405,2255,2762,3053,1396,2831,2152,2908,1448,1750,1706,1750,2348,1967,2531,2686,2249,2336,2531,2204,2315,1328,1194,1164,1957,1310,1977,1399,1592,641,1360,1274,2501,2368,2220,1982,991,883,976,653,1007,1265,1816,1531,1892,3242,1868,3034,2625,2012,1313,831,1093,1250,1349,1752,1703,1218,2462,2537,2220,1060,1149,1486,1907,1204,1721,1065,925,1010,944,1920,1443,1273,1683,1387,2410,2026,1126,1545,1286,1760,873,1098,1164,1417,1171,1464,1471,2924,1921,1953,1243,2237,2150,2772,2136,1782,2104,2157,3056,1893,2077,1238,2994,1649,1969,2108,3219,1720,2501,2225,2014,1022,1101,1732,2045,1706,1441,1666,1218,1756,1197,1205,2358,2370,2262,2486,2419,1602,1690,938,1666,1202,1950,2358,1054,1226,3507,1272,1372,1870,1533,1614,1649,1699,2609,1906,1541,1702,1731,923,676,785,1859,1563,2692,1770,2420,2096,1132,2023,1953,1840,1234,1080,2170,1840,2031,2035,2684,2426,3030,3198,2995,1195,1097,1570,1688,1040,1085,1725,912,1216,1045,1416,2180,1765,1646,2018,836,1284,646,855,690,929,1398,1895,1842,2842,2699,2336,2122,3244,2685,865,1171,1372,1294,1338,1848,1252,1319,2850,1418,1234,1429,669,752,778,1000,1572,1054,1502,1389,1181,1335,1212,1911,1483,1567,1314,2391,1254,1749,1383,2091,1409,1191,1004,1885,1318,1105,1642,1535,1992,1912,2686,1546,2992,2302,2574,2232,1644,3007,1949,1948,1799,1776,1321,2001,1348,2406,1799,2424,1521,2297,2189,2327,1998,824,1252,1359,1588,1041,1427,1860,1098,1429,946,2044,2573,2400,1886,1954,1895,1405,1594,2359,1671,1769,1504,1781,1317,3468,1168,1618,1496,1499,1410,
sub-015,1367,1464,1903,1787,1880,1912,2367,1217,1193,2852,1613,2607,1388,2122,1824,1847,1189,1410,1155,1208,1580,2001,1942,1568,1675,1612,1808,1552,1761,1066,567,1223,1281,1361,1603,1258,1736,1084,896,1231,2061,1763,1845,1683,992,951,1007,595,996,937,1833,1245,1686,2134,1372,1583,1689,1773,1668,890,866,1049,1009,2009,1608,1572,2483,1921,1411,904,1366,1108,1415,1027,1439,1058,979,1315,1324,1443,1023,1400,1392,1114,1725,1492,1316,1573,1319,1629,1048,1274,1208,1383,1373,1530,1558,2195,1653,1352,1464,1980,1353,1779,928,1898,1668,1213,1607,1411,1287,1254,1537,1631,1660,1777,1410,2097,1379,1313,1584,1027,1090,1712,1509,1211,1140,1675,781,1084,1444,1035,1997,1808,2168,1788,1824,1368,1047,1283,2358,1889,1823,1549,1538,742,2916,823,956,1980,1224,1414,887,1049,2255,1504,1226,2046,1524,1086,619,688,2944,1551,2200,1472,2129,1788,1836,1960,1573,1566,1395,743,2161,1408,1252,1552,1640,2247,1984,2303,2147,1113,873,1328,1511,1202,820,1975,1636,1104,1347,1473,1573,1657,1625,1622,852,908,1380,865,795,1010,1374,1787,1697,1335,1589,1597,1007,1237,1654,924,1523,1195,1113,1143,1239,1267,977,2248,1617,1086,1313,822,674,687,793,1347,907,1391,1057,1149,905,1099,1713,1258,1556,1025,2323,1272,1595,1253,1751,1455,1100,1215,1447,1271,1253,1225,1342,1333,1442,2063,1335,1787,1909,1741,1510,1381,1523,2301,2556,1385,1940,1192,1996,1226,1447,1457,1754,1205,1771,1670,1777,1841,1349,1001,1830,1982,1155,1317,804,1102,1302,1145,2033,1422,2155,1838,1537,1285,1014,1193,1412,1234,1478,1274,1415,1182,2884,804,1497,1194,1271,1407,
sub-016,2662,1571,2200,2974,2508,2515,2891,1464,1247,3480,2162,3370,1757,2757,2019,1711,2317,1861,2380,3056,2994,2819,2144,2835,3681,3490,2925,2756,3528,1782,1923,2303,2726,1496,2789,1253,1907,1441,1489,1846,2586,3398,2900,2194,1771,1052,1526,1057,1142,1233,2431,2020,2540,4016,2810,3115,2569,2518,2202,1720,1889,1725,2062,2183,2259,1970,2657,2161,1549,811,1315,1895,3306,2307,2163,1942,2095,1736,1530,3553,2549,2165,3309,2074,2561,2257,1968,2389,1830,2027,1782,1414,1925,1567,1812,1467,1746,3443,1687,2159,2775,2101,2635,2185,1875,1844,2617,1978,2313,2588,3177,1852,2575,2773,3388,2432,2567,3356,2340,1983,2868,2140,1606,1888,1944,1548,2172,1999,1703,1322,1715,1876,3024,2580,2438,2277,2143,1883,1452,1878,1931,2471,2580,1857,1659,1083,4188,2123,1661,2421,2108,1934,1804,1915,2016,1782,2244,3092,2587,1528,735,843,3436,2560,3215,2691,2555,2171,1502,1770,2057,1988,2436,1852,1986,2354,2145,2304,3213,3319,3555,4197,3613,1450,1374,1471,1964,1492,1904,2330,1553,1860,1340,2160,3292,2434,2191,2858,1867,854,1989,678,1143,1460,1928,2232,2762,2610,3559,3216,2711,2605,2946,1548,1853,2028,2834,1781,1607,2412,1261,3683,2360,1878,2250,818,586,752,1233,2116,1299,1700,1626,2128,1573,1893,3035,2099,2411,1738,1866,2025,1726,1967,2233,2634,2289,1886,2086,1960,1394,1620,1978,1860,1737,2376,1453,2710,2156,3346,1804,2714,1965,3278,3087,2929,2169,2554,2593,2120,2567,2910,2701,2541,3186,3276,2780,3090,1524,1831,2042,1944,1329,1778,2092,2407,1934,1713,3079,2142,2805,2886,2523,2156,2144,1947,3247,2658,3157,2140,1634,1506,3661,1465,2192,1525,2283,1920,
